,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Variant,New_Price1
0,maruti wagon r lxi cng,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,maruti,wagon,r lxi cng,5.39
1,hyundai creta 1.6 crdi sx option,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,hyundai,creta,1.6 crdi sx option,15.19333333
2,honda jazz v,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,honda,jazz,v,8.61
3,maruti ertiga vdi,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6,maruti,ertiga,vdi,11.61857143
4,audi a4 new 2.0 tdi multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,audi,a4,new 2.0 tdi multitronic,51.385
5,hyundai eon lpg era plus option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,hyundai,eon,lpg era plus option,11.28145047
6,nissan micra diesel xv,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,nissan,micra,diesel xv,8.59
7,toyota innova crysta 2.8 gx at 8s,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,toyota,innova,crysta 2.8 gx at 8s,21
8,volkswagen vento diesel comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,volkswagen,vento,diesel comfortline,13.81375
9,tata indica vista quadrajet ls,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95,tata,indica,vista quadrajet ls,10.75306548
10,maruti ciaz zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,maruti,ciaz,zeta,10.65
11,honda city 1.5 v at sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,honda,city,1.5 v at sunroof,14.63571429
12,maruti swift vdi bsiv,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5,5.6,maruti,swift,vdi bsiv,7.56375
13,land rover range rover 2.2l pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27,land,rover,range rover 2.2l pure,104.102
14,land rover freelander 2 td4 se,Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,17.5,land,rover,freelander 2 td4 se,104.102
15,mitsubishi pajero sport 4x4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15,mitsubishi,pajero,sport 4x4,32.01
16,honda amaze s i-dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,honda,amaze,s i-dtech,8.662857143
17,maruti swift ddis vdi,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5,5.99,maruti,swift,ddis vdi,7.56375
18,renault duster 85ps diesel rxl plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,renault,duster,85ps diesel rxl plus,13.87
