Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Used_car_price,Brand,Model,Original_cost,Car_age
Mumbai,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,maruti,wagon,5.39,13
Pune,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,hyundai,creta,15.19333333,8
Chennai,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,honda,jazz,8.61,12
Chennai,87000,Diesel,Manual,First,20.77,1248,88.76,7,6,maruti,ertiga,11.61857143,11
Coimbatore,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,audi,a4,51.385,10
Hyderabad,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,hyundai,eon,11.28145047,11
Jaipur,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,nissan,micra,8.59,10
Mumbai,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,toyota,innova,21,7
Pune,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,volkswagen,vento,13.81375,10
Chennai,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95,tata,indica,10.75306548,11
Kochi,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,maruti,ciaz,10.65,5
Kolkata,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,honda,city,14.63571429,11
Jaipur,64424,Diesel,Manual,First,25.2,1248,74,5,5.6,maruti,swift,7.56375,8
Delhi,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27,land,rover,104.102,9
Pune,85000,Diesel,Automatic,Second,0,2179,115,5,17.5,land,rover,104.102,11
Delhi,110000,Diesel,Manual,First,13.5,2477,175.56,7,15,mitsubishi,pajero,32.01,9
Kochi,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,honda,amaze,8.662857143,7
Jaipur,25000,Diesel,Manual,First,28.4,1248,74,5,5.99,maruti,swift,7.56375,6
Kochi,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,renault,duster,13.87,9
Bangalore,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28,mercedes-benz,new,49.49,9
Kochi,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55,bmw,3,47.87,9
Mumbai,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,audi,a6,62.35666667,8
Kolkata,45807,Petrol,Manual,First,18.5,1197,80,5,1.87,hyundai,i20,9.74,13
Kolkata,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,volkswagen,vento,13.81375,13
Mumbai,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,honda,city,14.63571429,11
Hyderabad,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,nissan,micra,8.59,11
Hyderabad,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,maruti,alto,4.53,10
Kochi,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,honda,wrv,10.57,5
Mumbai,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4,toyota,innova,23.61366667,16
Bangalore,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,renault,duster,13.87,10
Delhi,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,toyota,corolla,20.97,11
Bangalore,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5,mahindra,ssangyong,15.5675283,10
Kolkata,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,audi,a6,62.35666667,13
Coimbatore,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,volkswagen,vento,12.33,9
Jaipur,83816,Petrol,Manual,Second,14,1061,64,5,1.85,maruti,wagon,5.39,14
Kochi,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,maruti,vitara,11.12,5
Delhi,52000,Petrol,Manual,First,18.15,1198,82,5,4.85,mahindra,kuv,7.35,6
Pune,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28,mercedes-benz,m-class,63.09554084,10
Chennai,62000,Diesel,Manual,First,22.07,1199,73.9,5,5,volkswagen,polo,9.71375,10
Delhi,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,maruti,alto,4.53,15
Kochi,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,tata,nano,10.75306548,9
Coimbatore,22033,Diesel,Manual,First,25.32,1198,77,6,5.58,mahindra,kuv,7.35,6
Kochi,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,hyundai,i20,9.74,9
Bangalore,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,hyundai,elantra,23.64,9
Mumbai,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,toyota,corolla,20.97,7
Ahmedabad,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,hyundai,elantra,22.65,15
Bangalore,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,toyota,innova,18.64,11
Jaipur,75000,Diesel,Manual,First,24.4,1120,71,5,3.85,hyundai,xcent,8.274,9
Jaipur,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5,mahindra,thar,11.39,11
Kochi,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,audi,a4,51.385,8
Delhi,52000,Diesel,Manual,First,22.9,1248,74,5,4.25,maruti,swift,7.56375,9
Kolkata,53000,Diesel,Manual,First,17.8,1248,75,5,3.3,maruti,swift,7.56375,9
Delhi,65650,Diesel,Manual,First,28.4,1248,74,5,3.85,maruti,swift,7.56375,10
Chennai,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6,hyundai,grand,7.2952,8
Kolkata,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,volkswagen,vento,13.81375,8
Kochi,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,renault,kwid,4.834285714,6
Kolkata,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,hyundai,i10,11.28145047,13
Hyderabad,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,nissan,x-trail,11.57734694,13
Hyderabad,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,maruti,zen,7.55626867,13
Mumbai,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,toyota,innova,19.34,6
Bangalore,72000,Diesel,Manual,First,20,1399,68,5,2.75,ford,figo,7.65,13
Delhi,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7,mercedes-benz,new,49.49,8
Pune,65000,Diesel,Manual,Second,15.8,2148,170,5,10,mercedes-benz,new,49.49,12
Chennai,178000,Diesel,Manual,First,25,1396,69,5,2.5,tata,indica,10.75306548,7
Jaipur,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5,audi,a4,51.385,11
Mumbai,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85,honda,city,14.63571429,16
Coimbatore,15369,Diesel,Automatic,First,0,1950,194,5,35.67,mercedes-benz,c-class,49.14,4
Pune,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,maruti,ertiga,11.61857143,7
Mumbai,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,hyundai,creta,11.81,5
Mumbai,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5,porsche,cayenne,136,15
Mumbai,55729,Diesel,Manual,First,15.1,2179,140,7,9.65,mahindra,xuv500,18.865,8
Kochi,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,hyundai,i10,11.28145047,11
Kochi,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,nissan,terrano,16.65,8
Coimbatore,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,honda,brio,6.8825,7
Delhi,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,audi,a6,62.35666667,9
Jaipur,111111,Diesel,Manual,First,17.8,1399,96.20556886,5,2,ford,fiesta,13.57205029,15
Chennai,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5,toyota,innova,23.61366667,17
Hyderabad,104000,Diesel,Manual,First,12.8,2494,102,7,11.75,toyota,innova,23.61366667,11
Hyderabad,87591,Petrol,Manual,First,0,1086,91.94537954,5,1.3,hyundai,santro,11.28145047,18
Jaipur,95100,Diesel,Manual,First,22.9,1248,74,5,3.75,maruti,swift,7.56375,11
Pune,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,tata,zest,6.67,6
Kochi,54944,Petrol,Manual,First,18,1198,86.7,5,4.82,honda,amaze,8.662857143,7
Hyderabad,70337,Diesel,Manual,First,20,1399,68,5,2.8,ford,figo,7.65,11
Jaipur,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,maruti,ritz,7.55626867,10
Delhi,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,honda,city,14.63571429,14
Delhi,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9,bmw,5,67.24571429,12
Pune,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,hyundai,i10,11.28145047,14
Bangalore,16000,Petrol,Manual,First,18.9,1197,82,5,5.75,hyundai,grand,7.2952,7
Hyderabad,73745,Petrol,Manual,First,17,1086,91.94537954,5,2.1,hyundai,santro,11.28145047,16
Mumbai,18949,Petrol,Manual,First,17.8,1198,86.7,5,5,honda,amaze,8.662857143,7
Delhi,107000,Diesel,Manual,First,13,2982,168.5,7,16.5,toyota,fortuner,36.548,9
Coimbatore,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,audi,a6,62.35666667,5
Delhi,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,ford,ecosport,12.10909091,10
Delhi,58000,Diesel,Manual,First,15.1,2179,140,7,8.1,mahindra,xuv500,18.865,9
Kolkata,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,honda,amaze,8.662857143,8
Kolkata,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,volkswagen,polo,9.71375,10
Ahmedabad,70002,Diesel,Manual,First,16.2,1493,110,5,3.45,hyundai,verna,14.254,13
Bangalore,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,maruti,wagon,5.39,7
Delhi,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,volkswagen,polo,9.71375,13
Pune,78958,Diesel,Manual,Second,23,1396,90,5,3.8,hyundai,i20,9.74,12
Mumbai,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,hyundai,i20,9.74,9
