,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Variant,New_Price1,Price Range
0,maruti wagon r lxi cng,Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5,1.75,maruti,wagon,r lxi cng,5.39,1.75
1,hyundai creta 1.6 crdi sx option,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5,12.5,hyundai,creta,1.6 crdi sx option,15.19333333,₹ 10.84 - 19.13 lakh
2,honda jazz v,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5,4.5,honda,jazz,v,8.61,₹ 8.11 - 10.41 lakh
3,maruti ertiga vdi,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7,6.0,maruti,ertiga,vdi,11.61857143,4.5
4,audi a4 new 2.0 tdi multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5,17.74,audi,a4,new 2.0 tdi multitronic,51.385,₹ 43.81 - 51.85 lakh
5,hyundai eon lpg era plus option,Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5,2.35,hyundai,eon,lpg era plus option,11.28145047,₹2.96 - 4.71 lakh
6,nissan micra diesel xv,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5,3.5,nissan,micra,diesel xv,8.59,₹6.63 - 8.13 lakh
7,toyota innova crysta 2.8 gx at 8s,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8,17.5,toyota,innova,crysta 2.8 gx at 8s,21.0,₹13.22 - 16.81 lakh
8,volkswagen vento diesel comfortline,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5,5.2,volkswagen,vento,diesel comfortline,13.81375,₹8.69 - 14.79 lakh
9,tata indica vista quadrajet ls,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5,1.95,tata,indica,vista quadrajet ls,10.75306548,₹4.05 - 5.59 lakh
10,maruti ciaz zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5,9.95,maruti,ciaz,zeta,10.65,5.2
11,honda city 1.5 v at sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5,4.49,honda,city,1.5 v at sunroof,14.63571429,₹ 11.52 - 16.00 lakh
12,maruti swift vdi bsiv,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5,5.6,maruti,swift,vdi bsiv,7.56375,1.95
