Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti Wagon R LXI CNG,Maruti,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,,1.75
Hyundai Creta 1.6 CRDi SX Option,Hyundai,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,,12.5
Honda Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,8.61,4.5
Maruti Ertiga VDI,Maruti,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,,6
Audi A4 New 2.0 TDI Multitronic,Audi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,,17.74
Hyundai EON LPG Era Plus Option,Hyundai,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,,2.35
Nissan Micra Diesel XV,Nissan,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,21,17.5
Volkswagen Vento Diesel Comfortline,Volkswagen,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,,5.2
Tata Indica Vista Quadrajet LS,Tata,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,,1.95
Maruti Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,10.65,9.95
Honda City 1.5 V AT Sunroof,Honda,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,,4.49
Maruti Swift VDI BSIV,Maruti,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5,,5.6
Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,,27
Land Rover Freelander 2 TD4 SE,Land,Pune,2012,85000,Diesel,Automatic,Second,0,2179,115,5,,17.5
Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,32.01,15
Honda Amaze S i-Dtech,Honda,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,,5.4
Maruti Swift DDiS VDI,Maruti,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5,,5.99
Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Mercedes,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,,28
BMW 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,47.87,18.55
Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,,8.25
Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,,23.5
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5,,1.87
Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,,2.85
Honda City Corporate Edition,Honda,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,,4.25
Nissan Micra Diesel XV,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,,4.25
Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,,2.75
Honda WRV i-VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.9
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,,4
Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,,7.75
Toyota Corolla Altis G,Toyota,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,,6.75
Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,,12.5
Audi A6 2.7 TDI,Audi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,,11.5
